Research Areas	records	% of 77
SOCIOLOGY	31	40.260
SOCIAL SCIENCES OTHER TOPICS	24	31.169
BEHAVIORAL SCIENCES	18	23.377
PSYCHOLOGY	17	22.078
COMPUTER SCIENCE	16	20.779
MATHEMATICS	13	16.883
MATHEMATICAL COMPUTATIONAL BIOLOGY	12	15.584
BUSINESS ECONOMICS	11	14.286
SCIENCE TECHNOLOGY OTHER TOPICS	7	9.091
ENGINEERING	6	7.792
ENVIRONMENTAL SCIENCES ECOLOGY	6	7.792
HEALTH CARE SCIENCES SERVICES	5	6.494
INFORMATION SCIENCE LIBRARY SCIENCE	5	6.494
MATHEMATICAL METHODS IN SOCIAL SCIENCES	5	6.494
PEDIATRICS	5	6.494
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH	5	6.494
SOCIAL ISSUES	5	6.494
COMMUNICATION	4	5.195
ANTHROPOLOGY	3	3.896
FAMILY STUDIES	3	3.896
INFECTIOUS DISEASES	3	3.896
CHEMISTRY	2	2.597
EDUCATION EDUCATIONAL RESEARCH	2	2.597
EVOLUTIONARY BIOLOGY	2	2.597
GENETICS HEREDITY	2	2.597
GOVERNMENT LAW	2	2.597
MEDICAL INFORMATICS	2	2.597
NUTRITION DIETETICS	2	2.597
PHYSIOLOGY	2	2.597
PSYCHIATRY	2	2.597
PUBLIC ADMINISTRATION	2	2.597
RESEARCH EXPERIMENTAL MEDICINE	2	2.597
SOCIAL WORK	2	2.597
TELECOMMUNICATIONS	2	2.597
ANATOMY MORPHOLOGY	1	1.299
ARTS HUMANITIES OTHER TOPICS	1	1.299
AUTOMATION CONTROL SYSTEMS	1	1.299
BIOCHEMISTRY MOLECULAR BIOLOGY	1	1.299
CRIMINOLOGY PENOLOGY	1	1.299
DEMOGRAPHY	1	1.299
ENERGY FUELS	1	1.299
FOOD SCIENCE TECHNOLOGY	1	1.299
GASTROENTEROLOGY HEPATOLOGY	1	1.299
GENERAL INTERNAL MEDICINE	1	1.299
GERIATRICS GERONTOLOGY	1	1.299
IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY	1	1.299
IMMUNOLOGY	1	1.299
INSTRUMENTS INSTRUMENTATION	1	1.299
INTERNATIONAL RELATIONS	1	1.299
LIFE SCIENCES BIOMEDICINE OTHER TOPICS	1	1.299
MEDICAL LABORATORY TECHNOLOGY	1	1.299
OPERATIONS RESEARCH MANAGEMENT SCIENCE	1	1.299
OPHTHALMOLOGY	1	1.299
PHARMACOLOGY PHARMACY	1	1.299
PHYSICS	1	1.299
REHABILITATION	1	1.299
RELIGION	1	1.299
REPRODUCTIVE BIOLOGY	1	1.299
ROBOTICS	1	1.299
SUBSTANCE ABUSE	1	1.299
TOXICOLOGY	1	1.299
TRANSPORTATION	1	1.299
URBAN STUDIES	1	1.299
WOMEN S STUDIES	1	1.299
(0 records (0.000%) do not contain data in the field being analyzed.)
