year,total,business economics
2018,237,42
2017,225,45
2016,224,40
2015,235,36
2014,148,26
2013,139,23
2012,99,19
2011,77,11
2010,57,9
2009,44,8
2008,27,8
2007,23,7
2006,13,1
2005,19,4
2004,15,2
2003,14,2
2002,3,1
2001,4,1
2000,9,3
1999,4,1
1998,5,2
1997,6,2
1996,3,0
1995,5,0
1994,2,1
1993,2,1
1992,2,1
1991,1,0
1990,1,0
1989,0,0
1988,1,0
1987,1,0
1986,0,0
1985,3,0
1984,1,0
1983,0,0
1982,3,0
1981,0,0
1980,1,0
1979,0,0
1978,2,0
1977,1,0
1976,0,0
1975,0,0
1974,1,0
1973,0,0
1972,1,0
1971,0,0
1970,1,0
1969,0,0
1968,0,0
1967,0,0
1966,1,0
1965,1,0
1964,1,0
