year,total,computer science
2018,237,84
2017,225,75
2016,224,80
2015,235,79
2014,148,51
2013,139,29
2012,99,22
2011,77,16
2010,57,18
2009,44,12
2008,27,6
2007,23,3
2006,13,2
2005,19,4
2004,15,0
2003,14,0
2002,3,0
2001,4,0
2000,9,0
1999,4,0
1998,5,0
1997,6,0
1996,3,0
1995,5,0
1994,2,0
1993,2,0
1992,2,0
1991,1,0
1990,1,0
1989,0,0
1988,1,0
1987,1,0
1986,0,0
1985,3,0
1984,1,0
1983,0,0
1982,3,0
1981,0,0
1980,1,0
1979,0,0
1978,2,0
1977,1,0
1976,0,0
1975,0,0
1974,1,0
1973,0,0
1972,1,0
1971,0,0
1970,1,0
1969,0,0
1968,0,0
1967,0,0
1966,1,0
1965,1,0
1964,1,0
