year,total,sociology
2018,237,43
2017,225,46
2016,224,48
2015,235,50
2014,148,39
2013,139,46
2012,99,35
2011,77,31
2010,57,16
2009,44,16
2008,27,9
2007,23,4
2006,13,3
2005,19,7
2004,15,9
2003,14,8
2002,3,2
2001,4,3
2000,9,5
1999,4,0
1998,5,2
1997,6,1
1996,3,0
1995,5,4
1994,2,0
1993,2,1
1992,2,1
1991,1,1
1990,1,0
1989,0,0
1988,1,1
1987,1,1
1986,0,0
1985,3,2
1984,1,0
1983,0,0
1982,3,1
1981,0,0
1980,1,0
1979,0,0
1978,2,2
1977,1,0
1976,0,0
1975,0,0
1974,1,0
1973,0,0
1972,1,1
1971,0,0
1970,1,0
1969,0,0
1968,0,0
1967,0,0
1966,1,1
1965,1,1
1964,1,0
